,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
6667,2016-03-19,"['padrão', 'pt']","[0, 38]",591,245,2016
892,2016-03-19,"['padrão', 'pt']","[0, 38]",348,143,2016
385,2016-03-19,"['futebol', 'rocha', 'miranda', 'riorj', 'amigos', 'garotos', 'flaviobolsonaro', 'carlosbolsonaro']","[0, 126]",339,41,2016
571,2016-03-21,"['21', 'março', '1955', 'obrigado', 'pessoas', 'maravilhosas', 'trouxeram', 'mundo', 'educaram']","[0, 134]",2083,336,2016
4191,2016-03-22,"['otto', 'baptista', 'presidente', 'federação', 'nacional', 'médicos', 'conversa', 'depbolsonaro', 'brasília220316']","[0, 140]",251,70,2016
548,2016-03-22,"['segundafeira', '23h50', 'whatsapp', 'tento', 'acompanhar']","[0, 78]",222,41,2016
119,2016-03-22,"['dia', 'votação', 'impeachment', 'final', 'abril', 'vamos', 'todos', 'sitiar', 'congresso', 'nacional']","[0, 117]",1226,640,2016
3185,2016-03-23,"['senado', 'aprova', 'projeto', 'libera', 'fosfoetanolamina', 'pílula', 'câncer', 'pl', 'vai', 'sanção', 'presidencial', 'esperança']","[0, 140]",715,275,2016
3569,2016-03-25,"['lista', 'furnas', 'verdade', 'vez', 'esfregada', 'cara', 'canalhas', 'atacam', 'invenções', 'desinformações']","[0, 139]",1230,665,2016
5322,2016-03-25,"['março16entrevista', 'nytimes', 'deputado', 'jair', 'bolsonaro', 'discute', 'temas', 'grande', 'relevância', 'cenário', 'nacional']","[0, 140]",399,172,2016
